idDrink,strDrink,strAlcoholic,strCategory,strGlass,strIBA,strDrinkThumb,strInstructions,ingredients
12784,Thai Iced Coffee,nalc,Coffee / Tea,Highball glass,,http://www.thecocktaildb.com/images/media/drink/rqpypv1441245650.jpg,"Prepare a pot of coffee at a good European strength. In the ground coffee, add 2 or 3 freshly ground cardamom pods. Sweeten while hot, then cool quickly. Serve in highball glass over ice, with cream. To get the layered effect, place a spoon atop the coffee and pour the milk carefully into the spoon so that it floats on the top of the coffee.","black Coffee, Sugar, pods
 Cream, Cardamom"
12786,Thai Iced Tea,nalc,Coffee / Tea,Highball glass,,http://www.thecocktaildb.com/images/media/drink/trvwpu1441245568.jpg,"Combine Thai tea (i.e., the powder), boiling water, and sweetened condensed milk, stir until blended. Pour into 2 tall glasses filled with ice cubes. Garnish with mint leaves. Makes 2 servings.","1/4 cup Thai  Tea, 1/2 cup boiling  Water, 2 tsp sweetened  Condensed milk, cubes
 Ice, Mint"
16271,The Evil Blue Thing,alc,Cocktail,Old-fashioned glass,,http://www.thecocktaildb.com/images/media/drink/ojnpz71504793059.jpg,"Pour ingredients into glass, and drop in a blue whale! The blue whale isn't really necessary, but it makes the drink more ""fun"".","1 1/2 oz  Creme de Cacao, 1 oz  Blue Curacao, 1/2 oz  Light rum"
12388,Thriller,alc,Ordinary Drink,Cocktail glass,,http://www.thecocktaildb.com/images/media/drink/rvuswq1461867714.jpg,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","1 1/2 oz  Scotch, 1 oz Green Ginger  Wine, 1 oz  Orange juice"
12856,Tia-Maria,alc,Homemade Liqueur,Collins Glass,,http://www.thecocktaildb.com/images/media/drink/sih81u1504367097.jpg,"Boil water, sugar and coffe for 10 mins and let cool. Add rum and vanilla. Put in clean bottle(s) and leave for 1 week before using.","1 cup  Water, 3/4-1 cup  Brown sugar, 4 tsp  Coffee, 1 cup  Rum, 4 tsp  Vanilla extract"
12402,Tom Collins,alc,Ordinary Drink,Collins glass,,http://www.thecocktaildb.com/images/media/drink/qystvv1439907682.jpg,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice.","2 oz  Gin, 1 oz  Lemon juice, 1 tsp superfine  Sugar, 3 oz  Club soda, 1  Maraschino cherry, 1  Orange"
12726,Tomato Tang,nalc,Other/Unknown,Highball glass,,http://www.thecocktaildb.com/images/media/drink/869qr81487603278.jpg,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.","2 cups  Tomato juice, 1-2 tblsp  Lemon juice, 1 dash  Celery salt"
17216,Tommy's Margarita,alc,Ordinary Drink,Old-Fashioned glass,New Era Drinks,http://www.thecocktaildb.com/images/media/drink/loezxn1504373874.jpg,Shake and strain into a chilled cocktail glass.,"4.5 cl Tequila, 1.5 cl Lime Juice, 2 spoons Agave syrup"
12418,Turf Cocktail,alc,Ordinary Drink,Cocktail glass,,http://www.thecocktaildb.com/images/media/drink/utypqq1441554367.jpg,Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.,"1 oz  Dry Vermouth, 1 oz  Gin, 1/4 tsp  Anis, 2 dashes  Bitters, Twist of  Orange peel"
15006,Turkeyball,alc,Shot,Shot glass,,http://www.thecocktaildb.com/images/media/drink/rxurpr1441554292.jpg,Shake with ice and strain into a shot glass.,"1 oz  Wild Turkey, 3/4 oz  Amaretto, 1 splash  Pineapple juice"
